id,symbol,name
1x-short-theta-network-token,thetahedge,1X Short Theta Network Token
1x-short-tomochain-token,tomohedge,1X Short TomoChain Token
1x-short-trx-token,trxhedge,1X Short TRX Token
1x-short-vechain-token,vethedge,1X Short VeChain Token
1x-short-xrp-token,xrphedge,1X Short XRP Token
2-2-4-4-8,2248,2+2=4+4=8
24-genesis-mooncats,gmc24,24 Genesis Mooncats
2acoin,arms,2ACoin
2based-finance,2based,2Based Finance
2gether-2,2gt,2gether
2give,2give,2GIVE
2goshi,2goshi,2GoShi
2key,2key,2key.network
2x2,2x2,2X2
300fit,fit,300FIT
3x-long-algorand-token,algobull,3X Long Algorand Token
3x-long-altcoin-index-token,altbull,3X Long Altcoin Index Token
3x-long-balancer-token,balbull,3X Long Balancer Token
3x-long-bilira-token,trybbull,3X Long BiLira Token
3x-long-bitcoin-cash-token,bchbull,3X Long Bitcoin Cash Token
3x-long-bitcoin-sv-token,bsvbull,3X Long Bitcoin SV Token
3x-long-bitcoin-token,bull,3X Long Bitcoin Token
3x-long-bitmax-token-token,btmxbull,3X Long BitMax Token Token
3x-long-bnb-token,bnbbull,3X Long BNB Token
3x-long-cardano-token,adabull,3X Long Cardano Token
3x-long-chainlink-token,linkbull,3X Long Chainlink Token
3x-long-compound-token-token,compbull,3X Long Compound Token Token
3x-long-compound-usdt-token,cusdtbull,3X Long Compound USDT Token
3x-long-cosmos-token,atombull,3X Long Cosmos Token
3x-long-defi-index-token,defibull,3X Long DeFi Index Token
3x-long-dogecoin-token,dogebull,3X Long Dogecoin Token
3x-long-dragon-index-token,drgnbull,3X Long Dragon Index Token
3x-long-eos-token,eosbull,3X Long EOS Token
3x-long-ethereum-classic-token,etcbull,3X Long Ethereum Classic Token
3x-long-ethereum-token,ethbull,3X Long Ethereum Token
3x-long-exchange-token-index-token,exchbull,3X Long Exchange Token Index Token
3x-long-huobi-token-token,htbull,3X Long Huobi Token Token
3x-long-kyber-network-token,kncbull,3X Long Kyber Network Token
3x-long-leo-token,leobull,3X Long LEO Token
3x-long-litecoin-token,ltcbull,3X Long Litecoin Token
3x-long-maker-token,mkrbull,3X Long Maker Token
3x-long-matic-token,maticbull,3X Long Matic Token
3x-long-midcap-index-token,midbull,3X Long Midcap Index Token
3x-long-okb-token,okbbull,3X Long OKB Token
3x-long-pax-gold-token,paxgbull,3X Long PAX Gold Token
3x-long-privacy-index-token,privbull,3X Long Privacy Index Token
3x-long-shitcoin-index-token,bullshit,3X Long Shitcoin Index Token
3x-long-stellar-token,xlmbull,3X Long Stellar Token
3x-long-sushi-token,sushibull,3X Long Sushi Token
3x-long-swipe-token,sxpbull,3X Long Swipe Token
3x-long-tether-gold-token,xautbull,3X Long Tether Gold Token
3x-long-tether-token,usdtbull,3X Long Tether Token
3x-long-tezos-token,xtzbull,3X Long Tezos Token
3x-long-theta-network-token,thetabull,3X Long Theta Network Token
3x-long-tomochain-token,tomobull,3X Long TomoChain Token
3x-long-trx-token,trxbull,3X Long TRX Token
3x-long-vechain-token,vetbull,3X Long VeChain Token
3x-long-xrp-token,xrpbull,3X Long XRP Token
3x-short-algorand-token,algobear,3X Short Algorand Token
3x-short-altcoin-index-token,altbear,3X Short Altcoin Index Token
3x-short-balancer-token,balbear,3X Short Balancer Token
3x-short-bilira-token,trybbear,3X Short BiLira Token
3x-short-bitcoin-cash-token,bchbear,3X Short Bitcoin Cash Token
3x-short-bitcoin-sv-token,bsvbear,3X Short Bitcoin SV Token
3x-short-bitcoin-token,bear,3X Short Bitcoin Token
3x-short-bitmax-token-token,btmxbear,3X Short BitMax Token Token
3x-short-bnb-token,bnbbear,3X Short BNB Token
3x-short-cardano-token,adabear,3X Short Cardano Token
3x-short-chainlink-token,linkbear,3X Short Chainlink Token
3x-short-compound-token-token,compbear,3X Short Compound Token Token
3x-short-compound-usdt-token,cusdtbear,3X Short Compound USDT Token
3x-short-cosmos-token,atombear,3X Short Cosmos Token
3x-short-defi-index-token,defibear,3X Short DeFi Index Token
3x-short-dogecoin-token,dogebear,3X Short Dogecoin Token
3x-short-dragon-index-token,drgnbear,3X Short Dragon Index Token
3x-short-eos-token,eosbear,3X Short EOS Token
3x-short-ethereum-classic-token,etcbear,3X Short Ethereum Classic Token
3x-short-ethereum-token,ethbear,3X Short Ethereum Token
3x-short-exchange-token-index-token,exchbear,3X Short Exchange Token Index Token
3x-short-huobi-token-token,htbear,3X Short Huobi Token Token
3x-short-kyber-network-token,kncbear,3X Short Kyber Network Token
3x-short-leo-token,leobear,3X Short LEO Token
3x-short-litecoin-token,ltcbear,3X Short Litecoin Token
3x-short-maker-token,mkrbear,3X Short Maker Token
3x-short-midcap-index-token,midbear,3X Short Midcap Index Token
3x-short-okb-token,okbbear,3X Short OKB Token
3x-short-pax-gold-token,paxgbear,3X Short PAX Gold Token
3x-short-privacy-index-token,privbear,3X Short Privacy Index Token
3x-short-shitcoin-index-token,bearshit,3X Short Shitcoin Index Token
3x-short-stellar-token,xlmbear,3X Short Stellar Token
3x-short-sushi-token,sushibear,3X Short Sushi Token
3x-short-swipe-token,sxpbear,3X Short Swipe Token
3x-short-tether-gold-token,xautbear,3X Short Tether Gold Token
3x-short-tether-token,usdtbear,3X Short Tether Token
3x-short-tezos-token,xtzbear,3X Short Tezos Token
3x-short-theta-network-token,thetabear,3X Short Theta Network Token
3x-short-tomochain-token,tomobear,3X Short TomoChain Token
3x-short-trx-token,trxbear,3X Short TRX Token
3x-short-vechain-token,vetbear,3X Short VeChain Token
3x-short-xrp-token,xrpbear,3X Short XRP Token
3xt,3xt,3XT
404,404,404
420x,420x,420x
42-coin,42,42-coin
451pcbcom,pcb,451PCBcom
484-fund,error,484 Fund
4artechnologies,4art,4ART Coin
4new,kwatt,4New
502-bad-gateway-token,z502,502 Bad Gateway Token
520,520,520
5g-cash,vgc,5G-CASH
6ix9ine-chain,69c,6ix9ine Chain
7chain,vii,7Chain
7eleven,7e,7ELEVEN
7finance,svn,7Finance
7plus-coin,sv7,7Plus Coin
7up,7up,7up
808ta-token,808ta,808TA Token
888tron,888,888tron
88mph,mph,88mph
8pay,8pay,8Pay
8x8-protocol,exe,8X8 Protocol
99masternodes,nmn,99Masternodes
aaa-coin,aaa,AAA COIN
aapl,$aapl,$AAPL
aave,aave,Aave
aave-bat,abat,Aave BAT
aave-bat-v1,abat,Aave BAT v1
aave-busd,abusd,Aave BUSD
aave-busd-v1,abusd,Aave BUSD v1
aave-dai,adai,Aave DAI
aave-dai-v1,adai,Aave DAI v1
aave-enj,aenj,Aave ENJ
aave-enj-v1,aenj,Aave ENJ v1
aave-eth-v1,aeth,Aave ETH v1
aavegotchi,ghst,Aavegotchi
aave-knc,aknc,Aave KNC
aave-knc-v1,aknc,Aave KNC v1
aave-link,alink,Aave LINK
aave-link-v1,alink,Aave LINK v1
aave-mana,amana,Aave MANA
aave-mana-v1,amana,Aave MANA v1
aave-mkr,amkr,Aave MKR
aave-mkr-v1,amkr,Aave MKR v1
aave-ren,aren,Aave REN
aave-ren-v1,aren,Aave REN v1
aave-snx,asnx,Aave SNX
aave-snx-v1,asnx,Aave SNX v1
aave-susd,asusd,Aave SUSD
aave-susd-v1,asusd,Aave SUSD v1
aave-tusd,atusd,Aave TUSD
aave-tusd-v1,atusd,Aave TUSD v1
aave-usdc,ausdc,Aave USDC
aave-usdc-v1,ausdc,Aave USDC v1
aave-usdt,ausdt,Aave USDT
aave-usdt-v1,ausdt,Aave USDT v1
aave-wbtc,awbtc,Aave WBTC
aave-wbtc-v1,awbtc,Aave WBTC v1
aave-zrx,azrx,Aave ZRX
aave-zrx-v1,azrx,Aave ZRX v1
aax-token,aab,AAX Token
abc-chain,abc,ABC Chain
abcc-token,at,ABCC Token
abitshadow-token,abst,Abitshadow Token
able,ablx,ABLE X Token
abosom,xab,Abosom
absolute,abs,Absolute
absorber,abs,Absorber
abulaba,aaa,Abulaba
acash-coin,aca,Acash Coin
ace-casino,ace,Ace Entertainment
aced,aced,Aced
acent,ace,Acent
ac-exchange-token,acxt,ACDX Exchange Token
achain,act,Achain
ac-milan-fan-token,acm,AC Milan Fan Token
acoconut,ac,ACoconut
acoin,acoin,Acoin
acreage-coin,acr,Acreage Coin
acryl,acryl,Acryl
acryptos,acs,ACryptoS
acryptosi,acsi,ACryptoSI
actinium,acm,Actinium
action-coin,actn,Action Coin
acuity-token,acu,Acuity
acute-angle-cloud,aac,Acute Angle Cloud
adamant,addy,Adamant
adamant-messenger,adm,ADAMANT Messenger
adappter-token,adp,Adappter Token
adbank,adb,adbank
add-xyz-new,add,Add.xyz (NEW)
adelphoi,adl,Adelphoi
adex,adx,AdEx
ad-flex-token,adf,Ad Flex Token
aditus,adi,Aditus
adshares,ads,Adshares
adtoken,adt,adToken
advanced-internet-block,aib,Advanced Integrated Blocks
adventure-token,twa,Adventure Token
advertise-coin,adco,Advertise Coin
advertisingcoin,advc,Advertisingcoin
adzcoin,adz,Adzcoin
aegis,ags,Aegis
aelf,elf,aelf
aelysir,ael,Aelysir
aeneas,ash,Aeneas
aen-smart-token,aens,AEN Smart Token
aeon,aeon,Aeon
aerdrop,aer,Aerdrop
aergo,aergo,Aergo
aeron,arnx,Aeron
aerotoken,aet,AEROTOKEN
aeryus,aer,Aeryus
aeternity,ae,Aeternity
aeur,aeur,AEUR
aevo,aevo,Always Evolving
aezora,azr,Aezora
afen-blockchain,afen,AFEN Blockchain
afin-coin,afin,Asian Fintech
africa-to-mars,atm,Africa To Mars
africa-trading-chain,att,Africa Trading Chain
africunia-bank,afcash,AFRICUNIA BANK
afro,afro,Afro
afrodex,afrox,AfroDex
afrodex-labs-token,afdlt,AfroDex Labs Token
aga-rewards,edc,Edcoin
aga-rewards-2,agar,AGA Rewards
aga-token,aga,AGA Token
agavecoin,agvc,AgaveCoin
agave-token,agve,Agave Token
agenor,age,Agenor
aggregator-network,aggt,Aggregator Network
agoras,agrs,Agoras Token
agouti,agu,Agouti
agrello,dlt,Agrello
agricoin,AGN,Agricoin
agricultural-trade-chain,aat,Agricultural Trade Chain
agrinovuscoin,agri,AgriNovusCoin
agrolot,aglt,AGROLOT
ahatoken,aht,AhaToken
aiascoin,aias,AIAScoin
aichain,ait,AICHAIN
aicon,aico,Aicon
aidcoin,aid,AidCoin
ai-doctor,aidoc,AI Doctor
aidos-kuneen,adk,Aidos Kuneen
aidus,aidus,AIDUS Token
ailink-token,ali,AiLink Token
ai-mining,aim,AI Mining
ai-network,ain,AI Network
ainori,ain,Ainori
aion,aion,Aion
aioz-network,aioz,AIOZ Network
ai-predicting-ecosystem,aipe,AI Prediction Ecosystem
airbloc-protocol,abl,Airbloc
aircoins,airx,Aircoins
airdrop-world,awt,Airdrop World
airswap,ast,AirSwap
aisf,agt,AISF
aitheon,acu,Aitheon
aitra,aitra,AITRA
aiwork,awo,AiWork
akash-network,akt,Akash Network
akikcoin,akc,Akikcoin
akita-inu,akita,Akita Inu
akoin,akn,Akoin
akroma,aka,Akroma
akropolis,akro,Akropolis
akropolis-delphi,adel,Delphi
alacrity,alr,Alacrity
aladiex,ala,Aladiex
alaska-inu,las,Alaska Inu
alaya,atp,Alaya
albos,alb,Albos
alchemint,sds,Alchemint
alchemist,mist,Alchemist
alchemist-defi-aurum,aurum,Alchemist DeFi Aurum
alchemist-defi-mist,mist,Alchemist DeFi Mist
alchemix,alcx,Alchemix
alchemix-usd,alusd,Alchemix USD
alchemy-dao,alch,AlchemyDAO
alchemy-pay,ach,Alchemy Pay
aleph,aleph,Aleph.im
alex,alex,Alex
algoil,agol,AlgOil
algopainter,algop,AlgoPainter
algorand,algo,Algorand
algory,alg,Algory
algovest,avs,AlgoVest
alibabacoin,abbc,ABBC
alien-worlds,tlm,Alien Worlds
alien-worlds-bsc,tlm,Alien Worlds (BSC)
alis,alis,ALIS
alium-swap,alm,Alium Swap
all-best-ico,allbi,ALL BEST ICO
alldex-alliance,axa,Alldex Alliance
all-for-one-business,afo,All For One Business
allianceblock,albt,AllianceBlock
alliance-cargo-direct,acd,Alliance Cargo Direct
alliance-fan-token,all,Alliance Fan Token
alliance-x-trading,axt,Alliance X Trading
alligator-fractal-set,gator,Alligator + Fractal Set
allium-finance,alm,Allium Finance
allive,alv,Allive
all-me,me,All.me
allohash,alh,AlloHash
alloy-project,xao,Alloy Project
allsafe,asafe,AllSafe
all-sports,soc,All Sports
ally,aly,Ally
almace-shards,almx,Almace Shards
aloha,aloha,Aloha
alpaca,alpa,Alpaca City
alpaca-finance,alpaca,Alpaca Finance
alp-coin,alp,ALP Coin
alpha5,a5t,Alpha5
alphacat,acat,Alphacat
alpha-coin,apc,Alpha Coin
alphadex,dex,AlphaDex
alpha-finance,alpha,Alpha Finance
alphalink,ank,AlphaLink
alpha-platform,a,Alpha Token
alpha-quark-token,aqt,Alpha Quark Token
alphr,alphr,Alphr
alqo,xlq,ALQO
alrightcoin,alc,AlrightCoin
altbet,abet,Altbet
altcommunity-coin,altom,ALTOM
alt-estate,alt,AltEstate Token
altmarkets-coin,altm,Altmarkets Coin
altura,alu,Altura
aludra-network,ald,Aludra Network
aluna,aln,Aluna
amaten,ama,Amaten
amazonacoin,amz,AmazonasCoin
amber,amb,Ambrosus
amepay,ame,Amepay
american-akita,uskita,American Akita
americanhorror-finance,AHF,AmericanHorror.Finance
american-shiba,ushiba,American Shiba
amino-network,amio,Amino Network
amis,amis,AMIS
amix,amix,AMIX
ammbr,amr,Ammbr
ammyi-coin,ami,AMMYI Coin
amo,amo,AMO Coin
amon,amn,Amon
amond,amon,AmonD
amoveo,veo,Amoveo
ampleforth,ampl,Ampleforth
ampleforth-governance-token,forth,Ampleforth Governance Token
ampnet,aapx,AMPnet
amp-token,amp,Amp
amsterdamcoin,ams,AmsterdamCoin
amz-coin,amz,AMZ Coin
anchor,anct,Anchor
anchor-neural-world-token,anw,Anchor Neural World Token
anchor-protocol,anc,Anchor Protocol
andes-coin,andes,AndesCoin
android-chain,adc,Android chain
animal-adoption-advocacy,paws,Animal Adoption Advocacy
animalitycoin,anty,AnimalityCoin
animecoin,ani,Animecoin
anime-token,ani,Anime Token
anj,anj,Aragon Court
ankr,ankr,Ankr
ankreth,aeth,ankrETH
anon,anon,ANON
anoncoin,anc,Anoncoin
anonymous-bsc,anon,Anonymous BSC
anonymous-coin,amc,Anonymous Coin
anrkey-x,$anrx,AnRKey X
ans-crypto-coin,ans,ANS Crypto Coin
answer-governance,agov,Answer Governance
antcoin,ant,ANTcoin
antiample,xamp,Antiample
anti-fraud-chain,afc,Anti-Fraud Chain
anti-lockdown,free,Anti-Lockdown
antimatter,matter,AntiMatter
antimony,atmn,Antimony
antique-zombie-shards,zomb,Antique Zombie Shards
antra,antr,Antra
any-blocknet,ablock,ANY Blocknet
anysale,sale,AnySale
anyswap,any,Anyswap
aos,aos,AOS
ap3-town,ap3,AP3.town
apecoin,ape,APEcoin
apehaven,apes,ApeHaven
apenft,nft,APENFT
ape-punk,ape$,APE Punk
apeswap-finance,banana,ApeSwap Finance
ape-token,apet,Ape Token
ape-tools,nana,Ape Tools
apeusd-aave-synthetic-usd-dec-2021,apeUSD-AAVE-DEC21,apeUSD-AAVE Synthetic USD (Dec 2021)
apeusd-link-synthetic-usd-dec-2021,apeUSD-LINK-DEC21,apeUSD-LINK Synthetic USD (Dec 2021)
apeusd-snx-synthetic-usd-dec-2021,apeUSD-SNX-DEC21,apeUSD-SNX Synthetic USD (Dec 2021)
apeusd-uma-synthetic-usd-dec-2021,apeUSD-UMA-DEC21,apeUSD-UMA Synthetic USD (Dec 2021)
apeusd-uni-synthetic-usd-dec-2021,apeUSD-UNI-DEC21,apeUSD-UNI Synthetic USD (Dec 2021)
apexel-natural-nano,ann,Apexel Natural Nano
apholding-coin,aph,APHolding Coin
api3,api3,API3
apiary-fund-coin,afc,Apiary Fund Coin
apix,apix,APIX
apm-coin,APM,apM Coin
apollo,apl,Apollo
apollon,xap,Apollon Network
apollon-limassol,APL,Apollon Limassol Fan Token
apoyield,soul,APOyield
app-alliance-association,aaa,AAAchain
appcoins,appc,AppCoins
appics,apx,Appics
apple-finance,aplp,Apple Finance
apple-network,ank,Apple Network
apple-protocol-token,aapl,Apple Protocol Token
apr-coin,apr,APR Coin
april,april,April
apron,apn,Apron
apwars,wgold,APWars
apwine,apw,APWine
apy-finance,apy,APY.Finance
apyswap,apys,APYSwap
apy-vision,vision,APY.vision
aqt-token,aqt,AQT Token
aqua,aqua,Aqua
aquachain,aqua,Aquachain
aquagoat,aquagoat,AquaGoat
aquari,aquari,Aquari
aquariuscoin,arco,AquariusCoin
aquila-protocol,aux,Aquila Protocol
aragon,ant,Aragon
aragon-china-token,anc,Aragon China
ara-token,ara,Ara Token
araw-token,araw,ARAW Token
arbidex,abx,Arbidex
arbiswap,aswap,Arbiswap
arbit,arb,ARbit Coin
arbitragect,arct,ArbitrageCT
arcane-bear,bear,arcane bear
arcblock,abt,Arcblock
arc-block-protocol,abp,Arc Block Protocol
arc-governance,arcx,ARC Governance
arc-governance-old,arcx,ARC Governance (Old)
archer-dao-governance-token,arch,Archer DAO Governance Token
archetypal-network,actp,Archetypal Network
arcona,arcona,Arcona
arcs,arx,ARCS
arcticcoin,arc,Advanced Technology Coin
ardcoin,ardx,ArdCoin
ardor,ardr,Ardor
arepacoin,arepa,Arepacoin
ares-protocol,ares,Ares Protocol
argenpeso,argp,ArgenPeso
argentum,arg,Argentum
argo,argo,ArGo Token
argon,argon,Argon
arianee,aria20,Arianee
aries-chain,aries,Aries Chain
aries-financial-token,afi,Aries Financial
arion,arion,Arion
arionum,aro,Arionum
arix,arix,Arix
ark,ark,Ark
arke,arke,ARKE
armor,armor,ARMOR
armor-nxm,arnxm,Armor NXM
armours,arm,Armours
armx-unidos,armx,Armx Unidos
arpa-chain,arpa,ARPA Chain
arqma,arq,ArQmA
artax,xax,ARTAX
artbyte,aby,ArtByte
arteon,arteon,Arteon
artfinity-token,at,Artfinity Token
arth,arth,ARTH
arthur-chain,arc,Arthur Chain
artista,arts,ARTISTA
arto,rto,Arto
artube,att,Artube
artx,artx,ARTX
arweave,ar,Arweave
aryacoin,aya,Aryacoin
asac-coin,asac,Asac Coin
ascension,asn,Ascension
asch,xas,Asch
asd,asd,AscendEx Token
asgard-finance,thor,Asgard Finance
asian-african-capital-chain,acc,Asian-African Capital Chain
asian-dragon,ad,Asian Dragon
asia-reserve-currency-coin,arcc,Asia Reserve Currency Coin
asimi,asimi,ASIMI
askobar-network,asko,Asko
asla,asla,ASLA
aspire,asp,Aspire
as-roma-fan-token,asr,AS Roma Fan Token
assemble-protocol,asm,Assemble Protocol
assy-index,assy,ASSY Index
asta,asta,ASTA
aston,atx,Aston
astro,astro,Astro
astro-dragon,dragn,Astro Dragon
astronaut,naut,Astronaut
astrotools,astro,AstroTools
asura,asa,Asura
asyagro,asy,ASYAGRO
atari,atri,Atari
atbcoin,atb,ATBCoin
atd,atd,A2DAO
at-finance,at,AT Finance
atheios,ath,Atheios
atheneum,aem,Atheneum
atlant,atl,Atlant
atlantic-coin,atc,Atlantic Coin
atlantic-finance,atfi,Atlantic Finance
atlantis-token,atis,Atlantis Token
atlas,atls,Atlas Network
atlas-protocol,ATP,Atlas Protocol
atletico-madrid,atm,Atletico Madrid Fan Token
atmos,atmos,Atmos
atn,atn,ATN
atomic-wallet-coin,awc,Atomic Wallet Coin
atromg8,ag8,ATROMG8
attila,att,Attila
attn,attn,ATTN
auction,auction,Bounce
auctus,auc,Auctus
audax,audax,Audax
audiocoin,adc,AudioCoin
audius,audio,Audius
augur,rep,Augur
aunit,aunit,Aunit
aura-protocol,aura,Aura Protocol
aureus-nummus-gold,ang,Aureus Nummus Gold
auric-network,auscm,Auric Network
aurix,aur,Aurix
aurora,aoa,Aurora
auroracoin,aur,Auroracoin
aurora-dao,idex,IDEX
auroratoken,aurora,AuroraToken
aurumcoin,au,AurumCoin
auruscoin,awx,AurusDeFi
aurusgold,awg,AurusGOLD
aurus-silver,aws,AurusSILVER
auscoin,ausc,Auscoin
australia-cash,aus,Australia Cash
australian-kelpie,knockers,Australian Kelpie
australian-safe-shepherd,ass,Australian Safe Shepherd
auto,auto,Auto
autonio,niox,Autonio
auxilium,aux,Auxilium
avalanche-2,AVAX,Avalanche
avalaunch,xava,Avalaunch
avaluse,aval,Avaluse
avantage,avn,Avantage
aventus,avt,Aventus
avnrich,avn,AVNRich
aware,at,AWARE
axe,axe,Axe
axel,axel,AXEL
axentro,axnt,Axentro
axia,axiav3,Axia
axial,axl,AXiaL
axie-infinity,axs,Axie Infinity
axioms,axi,Axioms
axion,axn,Axion
axis-defi,axis,Axis DeFi
axpire,axpr,aXpire
ayfi,ayfi,Aave YFI
azbit,az,Azbit
azeusx,azx,AzeusX
az-fundchain,azt,AZ Fundchain
azuki,azuki,Azuki
azuma-coin,azum,Azuma Coin
azuras,uzz,UZURAS
azus,azu,Azus
azzure,azzr,Azzure
b20,b20,B20
b21,b21,B21
b26,b26,B26
b2bcoin-2,b2b,B2Bcoin
b2-coin,b2c,B2 Coin
b2u-coin,b2u,B2U Coin
b360,b360,B360
baasid,baas,BaaSid
babb,bax,BABB
baby-akita,bkita,Baby Akita
baby-shark,shark,Baby Shark
baby-shark-finance,bbs,Baby-Shark.Finance
baby-shark-tank,bashtank,Baby Shark Tank
baby-shiba,bhiba,Baby Shiba
baby-token,baby,Baby Token
backpacker-coin,bpc,BackPacker Coin
baconcoin,bak,BaconCoin
baconswap,bacon,BaconSwap
badger-dao,badger,Badger DAO
badger-sett-badger,bbadger,Badger Sett Badger
badger-sett-digg,bdigg,Badger Sett Digg
baepay,baepay,BAEPAY
bafe-io,bafe,Bafe.io
bafi-finance-token,bafi,Bafi Finance Token
baguette,bag,Baguette
baguette-token,bgtt,Baguette Token
bakery-soccer-ball,soccer,Bakery Soccer Ball
bakerytoken,bake,BakerySwap
bakerytools,tbake,BakeryTools
balancer,bal,Balancer
balicoin,bali,Bali Coin
balkan-coin,bkc,Balkan coin
ball-coin,ball,BALL Coin
balloon-coin,balo,Balloon Coin
ballotbox,bbx,Ballotbox
ballswap,bsp,BallSwap
balpha,balpha,bAlpha
bamboo-defi,bamboo,BambooDeFi
bamboo-token,boo,Bamboo
bamboo-token-2,bamboo,Bamboo Token
banana-finance,banana,Banana Finance
bananatok,bna,BananaTok
banana-token,bnana,Chimpion
banano,ban,Banano
banca,banca,Banca
bancor,bnt,Bancor Network Token
bancor-governance-token,vbnt,Bancor Governance Token
band-protocol,band,Band Protocol
bankcoincash,bcash,BankCoin BCash
bankcoin-reserve,bcr,Bankcoin Reserve
bankera,bnk,Bankera
bankex,bkx,BANKEX
bankless-dao,bank,Bankless DAO
banklife,lib,Banklife
bankroll-extended-token,bnkrx,Bankroll Extended Token
bankroll-network,bnkr,Bankroll Network
bankroll-vault,vlt,Bankroll Vault
banksocial,bsocial,BankSocial
bao-finance,bao,Bao Finance
baooka-token,bazt,Baz Token
barbecueswap,bbq,BarbecueSwap
bare,bare,BARE
barking,bark,Barking
barkis,bks,Barkis Network
barnbridge,bond,BarnBridge
baroin,bri,Baroin
barter,brtr,Barter
bartertrade,bart,BarterTrade
based-loans-ownership,blo,Based Loans Ownership
based-money,$based,Based Money
base-protocol,base,Base Protocol
basic,basic,BASIC
basic-attention-token,bat,Basic Attention Token
basid-coin,basid,Basid Coin
basis-bond,bab,Basis Bond
basis-cash,bac,Basis Cash
basis-coin-cash,bcc,Basis Coin Cash
basiscoin-share,bcs,Basis Coin Share
basis-dollar,bsd,Basis Dollar
basis-dollar-share,bsds,Basis Dollar Share
basis-gold,bsg,Basis Gold
basis-gold-mdex,bag,Basis Gold (Heco)
basis-gold-share,bsgs,Basis Gold Share
basis-gold-share-heco,bags,Basis Gold Share (Heco)
basis-share,bas,Basis Share
basketcoin,bskt,BasketCoin
basketdao,bask,BasketDAO
basketdao-defi-index,bdi,BasketDAO DeFi Index
bast,bast,Bast
bastonet,bsn,Bastonet
bata,bta,Bata
